City,ST,Population,Country,Latitude,Longitude
Lakeland,FL,122264,United States,28.066666666666666,-81.95
North Charleston,SC,121469,United States,32.916666666666664,-80.06666666666666
Lafayette,LA,121467,United States,30.216666666666665,-92.03333333333333
Arvada,CO,121414,United States,39.833333333333336,-105.15
Independence,MO,120922,United States,39.083333333333336,-94.35
Billings,MT,120864,United States,45.78333333333333,-108.55
Fairfield,CA,120768,United States,38.266666666666666,-122.03333333333333
Hartford,CT,119669,United States,41.766666666666666,-72.68333333333334
Ann Arbor,MI,119381,United States,42.28333333333333,-83.73333333333333
Broken Arrow,OK,119194,United States,36.03333333333333,-95.78333333333333
Berkeley,CA,118962,United States,37.86666666666667,-122.3
Cambridge,MA,118214,United States,42.38333333333333,-71.11666666666666
Richardson,TX,117435,United States,32.96666666666667,-96.71666666666667
Antioch,CA,117096,United States,37.983333333333334,-121.8
High Point,NC,116926,United States,35.983333333333334,-79.98333333333333
Clearwater,FL,116850,United States,27.983333333333334,-82.76666666666667
League City,TX,116320,United States,29.483333333333334,-95.11666666666666
Odessa,TX,115743,United States,31.883333333333333,-102.35
Manchester,NH,115474,United States,42.983333333333334,-71.43333333333334
Evansville,IN,115332,United States,37.983333333333334,-87.53333333333333
Waterbury,CT,114990,United States,41.56666666666667,-73.03333333333333
West Jordan,UT,114908,United States,40.6,-112.0
Las Cruces,NM,114892,United States,32.333333333333336,-106.78333333333333
Westminster,CO,114875,United States,39.88333333333333,-105.06666666666666
Lowell,MA,114296,United States,42.63333333333333,-71.31666666666666
Nampa,ID,114268,United States,43.583333333333336,-116.56666666666666
Richmond,CA,114106,United States,37.95,-122.36666666666666
Pompano Beach,FL,113619,United States,26.233333333333334,-80.13333333333334
Carlsbad,CA,113495,United States,33.13333333333333,-117.28333333333333
Menifee,CA,113433,United States,33.68333333333333,-117.18333333333334
Provo,UT,113343,United States,40.25,-111.65
Elgin,IL,113310,United States,42.03333333333333,-88.33333333333333
Greeley,CO,112609,United States,40.416666666666664,-104.76666666666667
Springfield,IL,112544,United States,39.78333333333333,-89.63333333333334
Beaumont,TX,112193,United States,30.083333333333332,-94.15
Lansing,MI,112115,United States,42.71666666666667,-84.56666666666666
Murrieta,CA,111878,United States,33.56666666666667,-117.18333333333334
Goodyear,AZ,111805,United States,33.25,-112.36666666666666
Allen,TX,111620,United States,33.11666666666667,-96.66666666666667
Tuscaloosa,AL,111338,United States,33.233333333333334,-87.53333333333333
Everett,WA,111180,United States,47.95,-122.18333333333334
Pueblo,CO,111077,United States,38.266666666666666,-104.61666666666666
New Braunfels,TX,110958,United States,29.7,-98.11666666666666
